Japanese,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Type,Genre,Score,Score Count,Synonyms,Genres,English,Theme,Themes,Broadcast,Premiered,Demographic
バイオレンス劇画 新・堕靡泥の星 淫魔伝説,1,Finished Airing,"Mar 8, 1991","None found,","None found,","None found,",Unknown,41 min.,Rx - Hentai,N/A,#12837,549,0,['OVA'],['Hentai'],5.02,152,,,,,,,,
ペロペロキャンデー,1,Finished Airing,"May 10, 1985",['Fuji Video'],"None found,","None found,",Unknown,22 min.,Rx - Hentai,N/A,#11337,963,1,['OVA'],['Hentai'],5.01,322,,,,,,,,
シャイニング・MAY,1,Finished Airing,"Nov 28, 1985","None found,","None found,","None found,",Unknown,25 min.,Rx - Hentai,N/A,#12227,688,1,['OVA'],['Hentai'],5.01,204,"May's Hot Night, Synphony Yume Monogatari, Symphony Yume Monogatari, Little Mermaid Series",,,,,,,
スーパーエロティックアニメ,2,Finished Airing,"Oct 9, 1985 to Oct 17, 1985","None found,","None found,","None found,",Unknown,27 min. per ep.,Rx - Hentai,N/A,#13423,442,1,['OVA'],['Hentai'],5.01,116,"Madonna Kimochi ii Koto Shite Kudasai, Ane & Imouto Kimochi ii Koto Shite Kudasai",,,,,,,
抱かれたい女,2,Finished Airing,"Apr 27, 1990 to Sep 21, 1990",['Agent 21'],"None found,","None found,",Unknown,45 min. per ep.,Rx - Hentai,N/A,#12613,601,0,['OVA'],,5.01,125,,"['Romance', 'Hentai']",,,,,,
銀の男,1,Finished Airing,"Jan 10, 1992","None found,","None found,",['J.C.Staff'],Manga,49 min.,Rx - Hentai,N/A,#13062,507,1,['OVA'],,5.01,143,,"['Romance', 'Hentai']",,,,,,
零媚耶,1,Finished Airing,"Dec 20, 2003","None found,","None found,","None found,",Original,28 min.,Rx - Hentai,N/A,#12417,647,0,['OVA'],['Hentai'],5.00,193,,,,,,,,
喪失郷,1,Finished Airing,"Nov 25, 2004",['Milky Animation Label'],"None found,",['Lead'],Visual novel,28 min.,Rx - Hentai,N/A,#8648,"2,808",5,['OVA'],,5.00,726,Soshitsukyo,"['Girls Love', 'Erotica', 'Hentai']",Soushitsukyou,,,,,
スケ番商会 キューティレモン,3,Finished Airing,"Dec 22, 1984 to Jul 1988","None found,","None found,","None found,",Unknown,24 min. per ep.,Rx - Hentai,N/A,#12608,597,0,['OVA'],['Hentai'],4.99,174,,,,,,,,
原罪病棟,2,Finished Airing,"Jun 22, 1999 to Nov 18, 1999",['Five Ways'],"None found,","None found,",Unknown,30 min. per ep.,Rx - Hentai,N/A,#11076,"1,084",1,['OVA'],['Hentai'],4.99,264,,,The Ward of Original Sin,,,,,
ピアニスト,1,Finished Airing,"Jun 25, 1998","None found,",['NuTech Digital'],"None found,",Manga,26 min.,Rx - Hentai,N/A,#10835,"1,185",0,['OVA'],['Hentai'],4.97,424,,,The Pianist,,,,,
堕天使たちの狂宴 (原作: ダーティ松本),1,Finished Airing,"Mar 10, 1985","None found,","None found,","None found,",Unknown,21 min.,Rx - Hentai,N/A,#11753,821,1,['OVA'],['Hentai'],4.97,269,Datenshi Tachi no Kyouen,,,,,,,
ディテクティブ file.1禁断の愛,1,Finished Airing,"Jul 29, 1999",['Green Bunny'],['Media Blasters'],"None found,",Unknown,28 min.,Rx - Hentai,N/A,#9843,"1,784",2,['OVA'],['Hentai'],4.97,543,,,Bondage House,,,,,
ドラゴンナイト外伝,1,Finished Airing,"Feb 25, 1995",['All Products'],"None found,",['Triple X'],Visual novel,47 min.,Rx - Hentai,N/A,#10333,"1,459",1,['OVA'],,4.97,450,,"['Action', 'Fantasy', 'Hentai']",,['Demons'],,,,
保健室で逢いましょう,1,Finished Airing,"Aug 27, 1999",['Allure'],"None found,","None found,",Unknown,40 min.,Rx - Hentai,N/A,#11702,838,0,['OVA'],['Hentai'],4.97,166,,,,,,,,
女畜,1,Finished Airing,"Feb 26, 1999",['Digital Works'],['Media Blasters'],['Y.O.U.C'],Manga,31 min.,Rx - Hentai,N/A,#10834,"1,187",2,['OVA'],['Hentai'],4.97,364,Metiku,,Office Affairs,,,,,
リヨン伝説フレア,2,Finished Airing,"Jul 14, 1986 to Apr 21, 1990",['AIC'],['SoftCel Pictures'],"None found,",Unknown,28 min. per ep.,Rx - Hentai,N/A,#10447,"1,383",1,['OVA'],,4.96,466,,"['Action', 'Fantasy', 'Hentai']",Legend of Lyon Flare,['Demons'],,,,
